effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,(Intercept),0.4223,0.11413948415999928,-3.1894453572032107,0.0014,0.2486,0.7173
fixed,tempo,1.0143,0.007509540336884967,1.9223382882832218,0.0546,0.9997,1.0292
